record_id,student_id,study_date,study_hours,sleep_hours,library_hours,self_study_hours,distraction_hours,practice_questions,study_consistency
SB002689,STU00269,2026-05-14,0.58,7.41,3.96,2.6,4.83,39,7
SB002690,STU00269,2026-05-25,6.36,6.27,3.07,1.38,4.89,10,2
SB002691,STU00270,2026-05-16,6.04,5.77,0.5,5.23,2.24,23,8
SB002692,STU00270,2026-05-23,6.04,6.54,1.68,0.63,1.84,30,5
SB002693,STU00270,2026-06-02,1.74,8.31,2.31,5.73,1.44,8,9
SB002694,STU00270,2026-02-05,4.71,5.82,3.26,4.96,2.96,29,5
SB002695,STU00270,2026-01-05,3.56,7.22,3.11,2.59,0.97,10,10
SB002696,STU00270,2026-02-12,0.97,8.34,4.93,5.39,1.55,6,2
SB002697,STU00270,2026-01-07,3.15,7.58,4.57,3.16,3.78,19,10
SB002698,STU00270,2026-06-05,2.08,7.19,4.52,2.69,3.49,16,10
SB002699,STU00270,2026-05-08,6.08,7.53,1.02,2.09,3.74,46,4
SB002700,STU00270,2026-06-08,3.48,5.35,1.76,0.79,0.96,32,2
SB002701,STU00271,2026-03-15,2.09,8.78,1.92,2.66,0.68,20,3
SB002702,STU00271,2026-04-13,2.85,8.05,0.98,3.74,4.19,23,5
SB002703,STU00271,2026-04-29,5.17,8.16,0.23,2.39,3.14,14,10
SB002704,STU00271,2026-03-29,0.97,7.77,0.77,0.5,4.1,31,6
SB002705,STU00271,2026-03-04,3.15,7.51,0.13,5.03,4.33,26,1
SB002706,STU00271,2026-02-13,6.98,6.4,1.97,3.73,0.23,32,10
SB002707,STU00271,2026-03-31,3.13,5.01,2.67,3.55,2.71,25,10
SB002708,STU00271,2026-05-15,1.5,4.8,0.31,0.65,0.58,33,4
SB002709,STU00271,2026-04-10,4.58,4.5,1.98,5.26,4.89,21,8
SB002710,STU00271,2026-03-13,6.7,5.64,3.28,4.02,1.97,40,3
SB002711,STU00272,2026-04-13,0.69,7.62,1.97,4.04,4.12,3,7
SB002712,STU00272,2026-04-03,3.07,8.95,1.87,4.15,4.42,9,8
SB002713,STU00272,2026-01-05,7.18,7.38,3.13,1.11,1.17,17,3
SB002714,STU00272,2026-02-06,5.43,6.94,1.43,3.18,1.13,49,2
SB002715,STU00272,2026-06-25,5.08,4.87,3.69,4.27,3.32,17,9
SB002716,STU00272,2026-05-14,7.72,5.18,1.55,2.4,2.11,3,6
SB002717,STU00272,2026-04-30,1.75,5.46,3.36,0.72,3.61,36,9
SB002718,STU00272,2026-05-21,6.18,5.6,2.81,1.55,4.64,5,3
SB002719,STU00272,2026-04-04,2.75,5.42,3.71,1.91,0.12,35,9
SB002720,STU00272,2026-03-25,1.1,6.43,0.42,2.08,2.6,36,5
SB002721,STU00273,2026-03-20,3.6,7.0,2.34,4.31,2.67,2,7
SB002722,STU00273,2026-06-09,6.7,6.86,1.39,0.97,3.64,44,1
SB002723,STU00273,2026-04-22,4.5,7.17,3.75,0.72,2.27,42,2
SB002724,STU00273,2026-02-03,6.65,6.64,4.85,1.05,3.47,18,9
SB002725,STU00273,2026-04-29,6.94,7.42,2.56,0.64,1.7,4,5
SB002726,STU00273,2026-06-11,7.67,5.26,1.8,4.68,4.87,33,5
SB002727,STU00273,2026-01-22,3.8,4.81,4.72,3.54,2.29,24,8
SB002728,STU00273,2026-04-18,5.51,8.18,2.21,1.1,0.94,25,2
SB002729,STU00273,2026-02-04,6.48,7.64,2.68,5.51,2.08,48,10
SB002730,STU00273,2026-01-21,7.39,5.57,4.69,5.75,2.24,14,10
SB002731,STU00274,2026-01-12,2.6,6.09,0.87,2.68,2.58,10,7
SB002732,STU00274,2026-01-24,1.73,8.29,1.29,2.69,2.08,28,5
SB002733,STU00274,2026-05-22,7.65,6.99,1.84,0.97,2.59,36,3
SB002734,STU00274,2026-04-17,7.38,8.2,2.41,4.1,0.52,20,5
SB002735,STU00274,2026-06-04,1.24,5.9,4.96,1.26,2.88,25,5
SB002736,STU00274,2026-03-24,2.65,5.91,3.24,4.97,3.24,49,4
SB002737,STU00274,2026-05-29,1.35,6.93,1.69,5.89,2.53,48,3
SB002738,STU00274,2026-04-21,2.61,5.1,0.94,4.2,0.6,13,6
SB002739,STU00274,2026-04-30,1.94,5.81,2.91,2.6,2.79,12,6
SB002740,STU00274,2026-04-18,4.45,5.53,2.97,3.91,4.96,34,10
SB002741,STU00275,2026-01-27,4.27,5.08,3.1,3.4,2.96,37,9
SB002742,STU00275,2026-02-13,2.32,5.57,4.75,3.53,1.78,12,10
SB002743,STU00275,2026-04-12,5.08,5.0,4.43,0.78,0.21,35,7
SB002744,STU00275,2026-01-29,3.96,6.67,4.93,1.28,2.09,22,5
SB002745,STU00275,2026-01-26,2.68,7.5,0.34,3.07,1.17,30,3
SB002746,STU00275,2026-02-28,0.92,7.44,3.73,3.53,2.78,15,9
SB002747,STU00275,2026-04-23,2.31,6.8,3.54,1.77,4.13,41,4
SB002748,STU00275,2026-02-04,6.3,8.29,2.66,3.9,4.19,2,8
SB002749,STU00275,2026-04-26,4.4,5.63,3.99,5.11,1.61,12,10
SB002750,STU00275,2026-04-19,3.74,6.49,2.08,3.27,4.55,12,3
SB002751,STU00276,2026-02-11,2.08,6.62,4.83,3.08,3.41,48,10
SB002752,STU00276,2026-05-01,7.81,8.85,1.98,4.23,2.84,49,9
SB002753,STU00276,2026-06-24,4.7,7.02,1.06,3.39,1.32,4,1
SB002754,STU00276,2026-01-16,7.35,6.41,4.31,5.45,2.53,5,4
SB002755,STU00276,2026-06-14,1.21,6.85,4.96,0.59,3.24,33,7
SB002756,STU00276,2026-04-24,2.05,6.67,4.64,2.15,0.04,10,2
SB002757,STU00276,2026-03-07,2.78,5.87,3.39,5.97,0.31,9,8
SB002758,STU00276,2026-04-02,4.21,7.74,4.31,2.38,2.44,7,3
SB002759,STU00276,2026-01-24,6.18,8.93,0.15,1.06,1.72,21,7
SB002760,STU00276,2026-02-27,3.42,7.6,3.16,0.59,0.9,15,7
SB002761,STU00277,2026-05-29,0.79,7.33,2.12,5.23,1.25,36,1
SB002762,STU00277,2026-06-16,7.01,6.95,1.93,2.28,0.29,30,7
SB002763,STU00277,2026-06-04,5.29,8.97,0.06,4.34,4.99,36,5
SB002764,STU00277,2026-01-20,0.7,7.06,3.91,2.16,4.98,22,8
SB002765,STU00277,2026-01-09,3.7,8.63,0.35,2.01,4.43,34,1
SB002766,STU00277,2026-05-02,7.98,8.95,0.12,5.92,3.7,34,9
SB002767,STU00277,2026-02-02,0.53,8.8,4.04,4.86,1.02,44,1
SB002768,STU00277,2026-01-22,3.79,7.06,0.75,5.87,1.67,4,1
SB002769,STU00277,2026-05-16,3.32,7.32,0.28,3.41,3.54,15,4
SB002770,STU00277,2026-02-26,5.87,7.47,3.97,3.61,0.33,38,3
SB002771,STU00278,2026-05-19,4.22,6.71,4.22,2.75,3.69,9,3
SB002772,STU00278,2026-03-25,3.06,5.48,0.44,2.72,2.15,3,1
SB002773,STU00278,2026-01-28,3.5,5.84,1.32,5.17,3.43,9,8
SB002774,STU00278,2026-03-01,2.75,4.95,4.64,1.53,0.65,11,10
SB002775,STU00278,2026-04-27,7.06,7.89,1.77,2.05,4.69,27,1
SB002776,STU00278,2026-02-16,1.54,8.01,2.88,1.86,4.7,23,4
SB002777,STU00278,2026-01-24,4.64,4.85,4.98,5.88,0.05,30,9
SB002778,STU00278,2026-06-20,7.38,5.04,1.52,4.9,2.28,8,9
SB002779,STU00278,2026-02-20,6.8,7.37,2.52,2.59,4.78,11,10
SB002780,STU00278,2026-03-06,6.52,8.0,2.78,3.68,2.89,19,5
SB002781,STU00279,2026-02-07,1.32,7.51,3.87,5.11,0.16,41,2
SB002782,STU00279,2026-03-07,5.66,6.32,3.39,0.75,1.25,12,9
SB002783,STU00279,2026-02-21,5.74,8.27,0.73,5.37,4.28,20,9
SB002784,STU00279,2026-01-27,5.21,5.56,0.75,3.36,3.25,29,9
SB002785,STU00279,2026-03-25,5.34,8.04,4.05,3.75,3.83,25,6
SB002786,STU00279,2026-03-30,6.47,6.89,0.63,1.09,4.41,28,5
SB002787,STU00279,2026-04-27,5.25,8.41,1.05,2.46,2.74,28,6
SB002788,STU00279,2026-04-29,6.61,4.93,1.16,3.82,0.29,49,2
SB002789,STU00279,2026-04-28,2.1,4.82,0.81,4.41,0.03,9,2
SB002790,STU00279,2026-01-16,6.28,8.08,0.36,4.75,4.32,50,6
SB002791,STU00280,2026-03-02,1.02,7.8,0.97,3.8,1.87,24,1
SB002792,STU00280,2026-03-28,7.76,6.21,4.9,4.52,3.92,38,8
SB002793,STU00280,2026-01-04,4.39,5.6,3.12,1.11,4.97,2,10
SB002794,STU00280,2026-04-27,5.67,7.61,1.99,3.52,0.83,34,3
SB002795,STU00280,2026-01-01,2.6,6.5,1.56,2.87,0.91,4,2
SB002796,STU00280,2026-01-09,3.55,4.71,0.62,3.93,0.27,36,3
SB002797,STU00280,2026-05-20,1.85,4.54,2.58,2.04,3.68,44,8
SB002798,STU00280,2026-01-13,4.59,7.23,4.84,4.7,3.16,26,1
SB002799,STU00280,2026-05-05,3.56,8.88,3.0,1.38,4.53,41,5
SB002800,STU00280,2026-04-11,7.44,5.1,2.81,4.48,4.54,47,4
SB002801,STU00281,2026-06-08,4.39,5.32,3.64,4.48,1.51,8,3
SB002802,STU00281,2026-01-16,4.36,6.87,3.94,3.84,1.99,13,2
SB002803,STU00281,2026-03-29,0.5,8.93,3.28,0.98,2.33,44,1
SB002804,STU00281,2026-02-04,2.43,8.68,2.05,3.25,3.66,6,5
SB002805,STU00281,2026-05-05,7.95,8.39,3.1,0.56,1.07,14,5
SB002806,STU00281,2026-05-12,6.2,6.75,4.92,4.3,3.06,3,10
SB002807,STU00281,2026-02-13,4.85,8.25,4.87,5.21,4.66,13,10
SB002808,STU00281,2026-04-14,4.82,5.24,1.92,5.43,4.24,49,3
SB002809,STU00281,2026-06-27,2.31,5.93,4.44,4.41,2.81,38,7
SB002810,STU00281,2026-04-27,1.58,5.58,2.91,5.76,2.74,43,6
SB002811,STU00282,2026-01-25,2.9,7.63,0.8,5.79,4.21,3,6
SB002812,STU00282,2026-05-27,4.17,7.01,4.47,1.95,0.36,4,9
SB002813,STU00282,2026-01-26,4.58,4.91,3.86,5.87,2.91,5,4
SB002814,STU00282,2026-05-28,0.52,5.84,0.25,4.02,2.17,4,10
SB002815,STU00282,2026-03-25,1.36,7.04,4.38,3.98,1.3,48,8
SB002816,STU00282,2026-01-12,7.71,5.94,0.51,1.86,2.71,3,8
SB002817,STU00282,2026-06-09,4.95,7.39,2.72,5.95,3.2,34,5
SB002818,STU00282,2026-03-05,6.44,8.48,3.97,4.59,3.34,12,6
SB002819,STU00282,2026-03-01,7.5,8.5,0.99,0.73,0.09,15,6
SB002820,STU00282,2026-03-21,4.46,5.41,0.66,5.75,2.95,10,9
SB002821,STU00283,2026-01-11,2.46,7.99,2.55,0.94,3.95,20,5
SB002822,STU00283,2026-05-16,3.22,6.62,3.84,3.13,1.12,17,7
SB002823,STU00283,2026-06-26,5.36,4.78,4.51,2.04,2.36,0,1
SB002824,STU00283,2026-06-22,1.82,5.81,2.97,1.76,0.15,18,1
SB002825,STU00283,2026-04-27,0.51,6.68,1.2,2.58,2.58,47,1
SB002826,STU00283,2026-03-26,7.68,8.86,0.33,3.76,1.49,8,10
SB002827,STU00283,2026-05-05,1.58,8.9,3.96,0.66,0.3,46,10
SB002828,STU00283,2026-06-03,0.71,5.39,2.39,4.34,3.07,14,9
SB002829,STU00283,2026-04-18,6.66,8.78,4.62,3.88,4.24,19,8
SB002830,STU00283,2026-03-25,1.3,5.03,0.82,5.97,4.72,46,3
SB002831,STU00284,2026-05-07,4.82,7.7,0.53,2.08,0.33,13,2
SB002832,STU00284,2026-06-04,2.85,7.74,0.22,2.96,1.63,46,3
SB002833,STU00284,2026-05-27,0.72,5.62,1.58,4.21,1.42,4,10
SB002834,STU00284,2026-02-19,1.03,6.25,1.83,0.86,4.49,21,5
SB002835,STU00284,2026-04-19,1.83,7.96,3.59,4.1,3.05,49,8
SB002836,STU00284,2026-01-03,1.87,8.28,3.98,4.02,1.93,18,7
SB002837,STU00284,2026-02-11,1.26,5.12,4.1,5.13,0.82,8,8
SB002838,STU00284,2026-06-10,6.27,7.61,3.5,1.66,2.31,24,6
SB002839,STU00284,2026-01-12,3.2,8.95,2.12,5.73,3.89,18,9
SB002840,STU00284,2026-02-26,2.24,6.89,0.74,0.67,1.3,19,3
SB002841,STU00285,2026-03-25,5.3,7.81,4.02,3.2,0.25,17,2
SB002842,STU00285,2026-02-07,2.19,7.97,1.2,2.88,4.37,3,8
SB002843,STU00285,2026-06-08,1.35,7.37,3.37,1.52,4.78,4,9
SB002844,STU00285,2026-03-14,4.95,5.59,4.86,1.16,1.4,43,9
SB002845,STU00285,2026-04-24,1.48,4.55,1.47,0.74,0.78,15,2
SB002846,STU00285,2026-04-28,6.12,6.58,4.15,0.55,4.39,26,4
SB002847,STU00285,2026-02-12,6.78,7.32,1.12,1.23,4.55,5,9
SB002848,STU00285,2026-04-29,0.67,8.41,2.21,2.19,2.36,18,1
SB002849,STU00285,2026-06-18,3.79,7.03,0.97,1.55,1.72,24,5
SB002850,STU00285,2026-03-17,6.08,8.66,3.18,4.32,3.8,41,9
SB002851,STU00286,2026-05-09,1.44,8.96,0.6,3.93,3.55,25,10
SB002852,STU00286,2026-04-21,7.19,5.53,3.59,2.1,2.56,28,9
SB002853,STU00286,2026-05-06,2.59,6.41,2.31,4.08,2.84,31,3
SB002854,STU00286,2026-04-10,2.47,6.28,0.2,1.89,4.02,44,4
SB002855,STU00286,2026-05-14,4.38,4.74,1.54,1.8,2.83,30,1
SB002856,STU00286,2026-04-26,3.57,4.9,0.44,5.57,2.52,28,6
SB002857,STU00286,2026-02-26,5.27,8.45,3.24,2.85,3.85,13,10
SB002858,STU00286,2026-06-21,3.21,6.05,3.29,0.85,4.98,12,6
SB002859,STU00286,2026-05-16,6.04,6.89,2.28,4.61,0.59,33,5
SB002860,STU00286,2026-02-23,1.72,8.55,4.36,5.25,4.55,6,8
SB002861,STU00287,2026-04-08,4.93,6.61,2.01,2.26,0.62,30,2
SB002862,STU00287,2026-01-07,5.07,5.7,1.87,1.17,4.21,8,2
SB002863,STU00287,2026-03-11,6.0,6.06,0.62,5.23,4.53,49,2
SB002864,STU00287,2026-06-11,0.71,5.54,2.0,5.16,2.28,6,5
SB002865,STU00287,2026-01-07,1.21,8.34,1.87,1.68,1.41,43,9
SB002866,STU00287,2026-01-26,1.85,4.54,3.28,3.98,3.68,33,3
SB002867,STU00287,2026-02-07,7.83,4.53,0.47,1.02,3.44,14,7
SB002868,STU00287,2026-01-24,7.01,5.16,2.6,0.62,0.63,49,4
SB002869,STU00287,2026-02-16,5.62,8.2,1.52,1.41,3.96,1,3
SB002870,STU00287,2026-03-02,2.29,7.63,4.89,4.72,2.73,45,10
SB002871,STU00288,2026-06-22,0.71,8.4,4.89,4.49,1.14,14,5
SB002872,STU00288,2026-04-26,6.6,8.88,1.62,5.05,1.79,38,2
SB002873,STU00288,2026-04-21,1.75,8.92,1.1,3.24,0.41,2,10
SB002874,STU00288,2026-01-02,1.69,6.32,1.18,1.82,0.0,23,4
SB002875,STU00288,2026-02-08,2.57,6.08,3.97,4.24,2.49,11,10
SB002876,STU00288,2026-02-22,0.64,4.99,2.85,2.08,2.86,45,3
SB002877,STU00288,2026-04-10,4.14,4.88,2.34,2.71,3.03,12,5
SB002878,STU00288,2026-05-16,1.48,6.36,0.67,1.62,2.7,2,2
SB002879,STU00288,2026-05-19,7.99,6.86,0.52,5.99,2.71,40,2
SB002880,STU00288,2026-04-08,4.36,7.22,3.03,1.71,4.28,43,6
SB002881,STU00289,2026-04-12,4.69,7.32,2.53,4.59,1.21,17,1
SB002882,STU00289,2026-04-25,1.06,6.3,3.83,0.86,1.77,47,7
SB002883,STU00289,2026-04-24,2.56,4.62,3.52,1.42,3.15,47,4
SB002884,STU00289,2026-03-03,5.49,5.8,2.89,3.16,4.35,48,9
SB002885,STU00289,2026-04-02,2.67,7.59,1.99,3.42,0.28,39,6
SB002886,STU00289,2026-03-04,7.17,6.85,0.6,3.34,3.71,9,9
SB002887,STU00289,2026-03-19,6.53,6.56,2.14,2.34,1.65,48,3
SB002888,STU00289,2026-02-21,2.52,5.81,2.83,4.5,3.85,37,7
SB002889,STU00289,2026-06-03,2.19,6.53,0.53,4.59,4.49,31,8
SB002890,STU00289,2026-05-20,6.08,5.43,0.57,5.61,1.72,9,1
SB002891,STU00290,2026-04-17,2.15,5.69,3.29,5.52,2.58,10,2
SB002892,STU00290,2026-04-09,0.71,5.87,1.49,1.25,1.87,26,7
SB002893,STU00290,2026-06-23,4.31,8.91,4.78,2.74,2.29,2,6
SB002894,STU00290,2026-05-12,1.84,6.52,4.3,0.72,3.32,10,6
SB002895,STU00290,2026-02-06,1.22,7.36,2.0,0.75,3.1,7,6
SB002896,STU00290,2026-03-25,2.12,5.07,1.96,3.49,1.67,47,8
SB002897,STU00290,2026-06-26,5.65,6.51,0.91,2.72,3.36,9,4
SB002898,STU00290,2026-05-06,2.0,6.67,0.5,3.98,0.02,50,2
SB002899,STU00290,2026-03-17,5.36,8.55,2.14,1.01,1.83,36,8
SB002900,STU00290,2026-01-05,1.89,6.45,3.04,5.44,2.12,2,4
SB002901,STU00291,2026-06-07,2.72,6.19,1.55,1.92,4.27,18,7
SB002902,STU00291,2026-03-26,6.57,7.54,4.49,2.17,4.58,18,6
SB002903,STU00291,2026-05-14,6.57,5.26,4.47,4.76,2.18,8,9
SB002904,STU00291,2026-01-06,7.21,4.61,3.36,1.71,0.54,10,8
SB002905,STU00291,2026-05-09,7.47,7.78,3.12,4.0,2.58,39,3
SB002906,STU00291,2026-03-05,6.21,6.8,3.83,4.52,1.22,3,5
SB002907,STU00291,2026-05-24,1.29,8.77,1.15,2.08,3.21,35,4
SB002908,STU00291,2026-01-05,2.98,8.06,1.77,0.96,0.99,5,8
SB002909,STU00291,2026-06-26,1.86,6.52,1.4,5.16,2.97,50,5
SB002910,STU00291,2026-05-17,7.88,5.76,4.43,5.44,3.05,47,6
SB002911,STU00292,2026-05-11,4.59,5.69,0.98,3.35,3.79,6,7
SB002912,STU00292,2026-05-07,6.37,6.71,0.15,5.48,4.55,44,9
SB002913,STU00292,2026-02-12,7.82,8.16,2.66,5.48,1.16,36,5
SB002914,STU00292,2026-05-26,6.0,6.6,4.39,1.97,2.75,17,7
SB002915,STU00292,2026-05-14,5.77,6.22,0.26,5.38,4.98,23,6
SB002916,STU00292,2026-01-31,1.93,6.06,3.18,0.92,3.87,34,9
SB002917,STU00292,2026-04-08,4.06,8.29,3.43,3.96,0.22,11,10
SB002918,STU00292,2026-02-06,0.58,4.6,2.12,1.82,3.7,40,4
SB002919,STU00292,2026-03-29,5.63,7.87,1.14,1.44,4.71,10,7
SB002920,STU00292,2026-05-09,4.84,8.49,0.99,3.77,0.35,32,5
SB002921,STU00293,2026-06-29,6.96,6.29,1.07,2.14,1.52,6,1
SB002922,STU00293,2026-05-30,1.59,6.71,2.0,1.16,2.86,12,1
SB002923,STU00293,2026-06-05,7.95,5.83,1.74,5.18,1.8,20,7
SB002924,STU00293,2026-02-28,3.32,5.19,2.97,3.23,3.04,10,3
SB002925,STU00293,2026-06-17,4.27,8.68,4.55,4.76,2.47,42,2
SB002926,STU00293,2026-02-23,7.79,5.53,1.37,3.1,1.62,35,5
SB002927,STU00293,2026-01-23,2.58,5.33,1.69,3.03,1.26,35,4
SB002928,STU00293,2026-06-04,0.65,5.51,2.73,1.56,2.64,41,2
SB002929,STU00293,2026-06-13,6.31,4.98,1.28,2.58,1.97,49,4
SB002930,STU00293,2026-06-02,4.13,8.81,3.82,1.77,3.99,42,9
SB002931,STU00294,2026-02-10,1.54,8.3,1.54,2.29,3.41,24,7
SB002932,STU00294,2026-02-17,1.61,5.17,4.98,2.53,2.93,10,8
SB002933,STU00294,2026-03-27,3.06,5.34,4.33,2.78,3.84,39,2
SB002934,STU00294,2026-06-05,5.63,4.72,4.29,4.35,2.36,18,4
SB002935,STU00294,2026-06-18,6.4,6.37,2.32,0.72,3.85,38,10
SB002936,STU00294,2026-01-26,4.01,5.75,3.02,4.39,2.52,37,10
SB002937,STU00294,2026-03-19,7.14,4.56,0.4,0.66,0.89,19,8
SB002938,STU00294,2026-01-11,0.55,8.86,4.99,2.78,1.56,38,3
SB002939,STU00294,2026-04-05,2.24,6.6,1.52,5.23,3.83,32,9
SB002940,STU00294,2026-01-11,1.15,4.75,3.15,1.63,0.79,17,8
SB002941,STU00295,2026-06-01,6.93,5.49,4.47,0.62,2.58,11,2
SB002942,STU00295,2026-04-24,0.66,7.22,2.46,1.17,2.7,25,8
SB002943,STU00295,2026-04-21,3.95,5.62,0.38,3.61,3.79,17,8
SB002944,STU00295,2026-01-02,4.46,5.15,2.02,3.75,3.57,17,1
SB002945,STU00295,2026-04-25,1.31,6.35,1.03,5.58,2.19,49,3
SB002946,STU00295,2026-05-02,3.94,7.75,0.47,5.55,1.22,37,5
SB002947,STU00295,2026-06-01,5.33,5.44,3.72,2.75,4.88,44,8
SB002948,STU00295,2026-06-16,6.63,8.19,1.25,0.85,0.94,46,5
SB002949,STU00295,2026-01-06,5.14,8.38,2.21,3.87,0.32,12,1
SB002950,STU00295,2026-06-21,3.31,6.76,4.79,4.82,0.66,24,2
SB002951,STU00296,2026-01-22,3.05,5.93,3.21,2.4,0.99,15,10
SB002952,STU00296,2026-05-24,6.95,6.7,4.84,2.6,1.79,9,4
SB002953,STU00296,2026-04-01,6.46,8.96,4.67,2.34,1.78,43,1
SB002954,STU00296,2026-03-22,4.13,8.37,2.44,1.47,3.01,23,8
SB002955,STU00296,2026-03-28,7.84,6.93,2.92,4.12,0.69,47,3
SB002956,STU00296,2026-04-27,0.85,4.63,1.79,4.93,2.3,41,4
SB002957,STU00296,2026-05-31,6.1,5.87,1.11,3.13,4.15,50,8
SB002958,STU00296,2026-03-19,3.78,8.44,3.43,2.92,0.34,49,4
SB002959,STU00296,2026-02-04,3.93,5.71,3.42,4.95,3.13,12,7
SB002960,STU00296,2026-01-17,1.63,4.81,1.01,0.61,2.89,32,5
SB002961,STU00297,2026-03-11,4.55,6.37,3.14,1.35,2.02,4,5
SB002962,STU00297,2026-04-30,6.95,4.8,0.44,3.18,1.43,15,3
SB002963,STU00297,2026-04-19,4.26,8.38,1.16,2.51,4.4,42,8
SB002964,STU00297,2026-01-30,2.72,8.25,3.61,2.87,4.18,29,8
SB002965,STU00297,2026-05-03,1.37,6.53,2.52,1.75,3.65,5,4
SB002966,STU00297,2026-02-13,4.53,8.04,1.39,2.91,3.4,39,7
SB002967,STU00297,2026-02-13,7.69,6.26,0.12,3.52,1.58,34,5
SB002968,STU00297,2026-05-06,5.12,4.72,4.12,5.44,0.17,40,10
SB002969,STU00297,2026-01-16,4.41,8.6,3.76,4.9,0.93,41,6
SB002970,STU00297,2026-04-29,3.91,8.24,3.01,1.29,1.75,37,9
SB002971,STU00298,2026-01-01,7.93,6.88,0.44,1.93,2.29,25,10
SB002972,STU00298,2026-05-12,7.88,4.81,2.69,2.41,3.02,34,1
SB002973,STU00298,2026-03-19,7.85,5.33,0.59,3.79,0.77,20,6
SB002974,STU00298,2026-03-04,7.62,6.14,0.58,5.56,3.94,11,7
SB002975,STU00298,2026-06-05,6.18,5.75,1.69,3.23,0.44,33,9
SB002976,STU00298,2026-02-05,5.59,6.3,4.91,1.41,0.9,1,6
SB002977,STU00298,2026-06-30,2.45,8.41,4.88,0.55,4.8,49,7
SB002978,STU00298,2026-04-02,0.88,8.73,2.82,3.88,4.75,46,1
SB002979,STU00298,2026-02-09,4.53,7.73,1.7,2.07,4.02,40,6
SB002980,STU00298,2026-06-11,3.0,5.56,0.01,5.32,4.06,25,10
SB002981,STU00299,2026-03-11,6.81,6.8,2.17,3.43,3.29,43,4
SB002982,STU00299,2026-05-06,6.74,5.72,1.22,4.98,0.86,13,7
SB002983,STU00299,2026-03-25,5.83,8.96,3.51,0.66,4.94,47,3
SB002984,STU00299,2026-05-13,2.09,7.2,0.82,5.53,0.88,48,10
SB002985,STU00299,2026-03-11,7.69,7.88,1.87,3.75,4.78,40,1
SB002986,STU00299,2026-02-17,1.89,6.05,4.36,4.71,3.91,4,10
SB002987,STU00299,2026-02-06,3.25,6.0,1.23,0.62,4.56,7,2
SB002988,STU00299,2026-05-31,2.21,4.69,3.22,5.07,4.9,35,8
SB002989,STU00299,2026-06-17,7.16,5.31,4.32,1.32,2.96,13,10
SB002990,STU00299,2026-01-26,2.25,6.68,3.1,2.82,1.22,14,10
SB002991,STU00300,2026-05-08,4.87,5.6,1.84,5.98,3.14,21,3
SB002992,STU00300,2026-02-17,4.57,8.17,0.34,1.8,0.04,8,9
SB002993,STU00300,2026-02-08,2.19,8.59,1.2,1.68,2.3,40,3
SB002994,STU00300,2026-01-07,4.41,5.57,4.1,5.41,3.21,35,4
SB002995,STU00300,2026-06-12,6.24,4.89,0.84,4.89,1.74,23,1
SB002996,STU00300,2026-01-08,0.89,7.58,0.76,4.42,4.63,5,3
SB002997,STU00300,2026-04-02,0.79,8.16,0.9,3.0,2.63,33,7
SB002998,STU00300,2026-02-25,3.48,8.91,2.38,0.72,2.87,6,4
SB002999,STU00300,2026-04-26,3.4,7.03,2.33,4.48,2.36,33,3
SB003000,STU00300,2026-03-06,0.51,4.53,3.45,1.56,2.97,26,2
SB003001,STU00301,2026-02-17,5.62,5.43,1.06,5.42,2.9,31,4
SB003002,STU00301,2026-03-28,7.09,7.82,1.9,1.42,2.86,12,1
SB003003,STU00301,2026-05-16,7.35,7.98,3.62,2.19,4.19,26,10
SB003004,STU00301,2026-05-20,5.96,5.26,0.44,3.94,1.59,4,6
SB003005,STU00301,2026-02-09,1.97,8.22,4.88,4.53,2.4,37,9
SB003006,STU00301,2026-01-05,7.47,7.58,2.75,5.06,3.85,9,9
SB003007,STU00301,2026-04-29,5.63,4.86,3.63,0.99,1.17,48,6
SB003008,STU00301,2026-06-20,6.58,6.78,1.87,3.78,1.21,49,2
SB003009,STU00301,2026-05-16,4.23,6.32,4.31,5.05,1.71,40,2
SB003010,STU00301,2026-02-04,6.63,7.02,2.53,2.4,1.89,10,8
SB003011,STU00302,2026-01-03,7.8,4.54,4.85,0.87,4.07,7,1
SB003012,STU00302,2026-04-19,7.45,5.63,3.27,4.74,1.65,44,10
SB003013,STU00302,2026-04-08,7.53,4.57,2.97,5.63,0.28,12,2
SB003014,STU00302,2026-02-17,5.97,8.58,1.87,2.14,1.15,45,6
SB003015,STU00302,2026-01-04,7.31,6.2,1.74,2.41,2.21,22,6
SB003016,STU00302,2026-02-09,2.95,5.13,1.54,5.67,2.53,14,8
SB003017,STU00302,2026-05-08,6.99,6.83,4.19,5.75,0.55,22,9
SB003018,STU00302,2026-01-14,2.11,5.84,1.97,4.24,1.71,16,10
SB003019,STU00302,2026-04-22,3.23,7.52,1.65,5.51,2.2,18,1
SB003020,STU00302,2026-01-14,2.24,6.51,4.6,5.79,2.15,1,1
SB003021,STU00303,2026-06-28,5.66,8.17,2.02,1.69,2.84,20,5
SB003022,STU00303,2026-06-23,1.18,4.85,0.89,2.73,2.7,39,2
SB003023,STU00303,2026-03-11,4.32,5.85,2.69,1.5,2.9,45,5
SB003024,STU00303,2026-01-01,5.51,6.81,3.56,3.52,1.11,12,6
SB003025,STU00303,2026-06-14,4.52,6.2,2.02,5.9,0.51,7,8
SB003026,STU00303,2026-01-28,4.51,7.87,0.89,1.16,0.21,10,3
SB003027,STU00303,2026-06-26,1.78,4.71,2.89,4.8,0.61,25,7
SB003028,STU00303,2026-02-09,5.84,8.8,1.44,2.1,1.59,23,4
